UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Korban Ceklist Satu,@An_Kiim,2021-11-20T11:08:01.000Z,"Korban Ceklist Satu
@An_Kiim
·
Nov 20","Hujan Badai Guyur Sirkuit Mandalika, Balapan Pertama World Superbike Ambyar, Pawang Hujan 'Not Working' Alias Gak Mempan  

#dukungMUI 
#dukungMUI
26
119
315",🤣,26,119,315,['https://pbs.twimg.com/ext_tw_video_thumb/1462014207075840001/pu/img/k3ax4fG_dwGt4snY.jpg'],https://twitter.com/An_Kiim/status/1462014863660642304
Agus Susanto III,@cobeh2021,2021-11-20T16:36:36.000Z,"Agus Susanto III
@cobeh2021
·
23h","Hujan Deras
Bikin Becek Sirkuit Mandalika.
.
""Permukaannya Becek Sekali Ini,
Sudah Seperti Sapi Yang Menggarap Ladang""
Kata Pengunjung
Sabtu, 20 November 2021
..
https://sports.okezone.com/read/2021/11/20/38/2504885/hujan-deras-bikin-becek-sirkuit-mandalika-pengunjung-sudah-seperti-sapi-garap-ladang…
346.3K views
0:02 / 0:30
184
428
845",,184,428,845,[],https://twitter.com/cobeh2021/status/1462097554452074501
GHUREM,@Ghurem2,2021-11-20T15:48:56.000Z,"GHUREM
@Ghurem2
·
Nov 20","Trimakasih Pak Jokowi..
Sekarang Mandalika Mendunia
Semoga Membawa Berkah Bagi 
Warga  Lombok kususnya Aamiin..
20
88
403",,20,88,403,['https://pbs.twimg.com/media/FEpfEWVVUAYFk3J?format=jpg&name=small'],https://twitter.com/Ghurem2/status/1462085561330462727
αchzαm prαвu,@achzam_prabu,2021-11-20T11:46:30.000Z,"αchzαm prαвu
@achzam_prabu
·
Nov 20","Bukan utk ajang Politik, apalagi pamer utk membanggakan diri seperti Formula E..

King Salman menawarkan Sirkuit Mandalika utk jadi Tuan Rumah F1 (Formula 1)..

Bangga jadi Indonesia..
2:19
12.1K views
20
125
344",👍,20,125,344,[],https://twitter.com/achzam_prabu/status/1462024551919849476
فهمي الكثيري,@FKadrun,2021-11-20T15:53:16.000Z,"فهمي الكثيري
@FKadrun
·
Nov 20","KUNCEN CADAS PANGERAN DAN PAWANG HUJAN MANDALIKA UDH GA ADA HARGA DIRINYA.
108
155
1K",😅 🤣 😂 🤣 😅 🤣 😂 😅 🤣 😂,108,155,1K,[],https://twitter.com/FKadrun/status/1462086650570297346
JhonyOhox,@jhony_ohox,2021-11-20T13:41:29.000Z,"JhonyOhox
@jhony_ohox
·
Nov 20","Replying to 
@Gojekmilitan
Para pembalap menemukan masa kecilnya di mandalika..
64
289
532",😂,64,289,532,['https://pbs.twimg.com/ext_tw_video_thumb/1462053378201047043/pu/img/71UfgjP64VLoqpkr.jpg'],https://twitter.com/jhony_ohox/status/1462053484950261766
Novi Rahmawati,@NoviR007,2021-11-20T07:59:19.000Z,"Novi Rahmawati
@NoviR007
·
Nov 20","PKS terkagum-kagum lihat WSBK Mandalika.. 

Mau kritik Pak Jokowi tapi yg bangun Pak Jokowi, mau muji Pak Jokowi tapi gengsi.. 

Yaa udaah puji kader nya yang sibuk polig4mi aja, meskipun memalukan 
24
49
171",😂,24,49,171,"['https://pbs.twimg.com/media/FEnzk6EUcAoXVlK?format=jpg&name=360x360', 'https://pbs.twimg.com/media/FEnzlIuVIAU6o5M?format=jpg&name=360x360']",https://twitter.com/NoviR007/status/1461967376035946502
Sartono Hutomo,@SartonoHutomo,2021-11-20T11:07:51.000Z,"Sartono Hutomo
@SartonoHutomo
·
Nov 20","SBY Resmikan Mandalika 2011, Kenapa Jokowi Bilang 29 Tahun Tak Selesai?
nasional.kompas.com
SBY Resmikan Mandalika 2011, Kenapa Jokowi Bilang 29 Tahun Tak Selesai?
Klaim Jokowi tersebut menuai pertanyaan. Sebab, Susilo Bambang Yudhoyono meresmikan groundbreaking proyek itu saat menjabat Presiden keenam pada 2011.
120
299
940",,120,299,940,['https://pbs.twimg.com/card_img/1462014772451241989/L0NM42wu?format=jpg&name=small'],https://twitter.com/SartonoHutomo/status/1462014823386923009
KOMPAS TV,@KompasTV,2021-11-20T16:01:05.000Z,"KOMPAS TV
@KompasTV
·
23h","Hujan Deras Akibatkan Area Sekitar Sirkuit Mandalika Tergenang Air http://dlvr.it/SCt6m3
71
65
191",,71,65,191,['https://pbs.twimg.com/media/FEph2XQVkAI7qhc?format=jpg&name=small'],https://twitter.com/KompasTV/status/1462088617984098309
Mas Piyu,@maspiyuaja,2021-11-20T08:52:32.000Z,"Mas Piyu
@maspiyuaja
·
Nov 20","[Video] WSBK BUBAR  HUJAN DERAS GUYUR MANDALIKA (20/11/2021)
158
413
1K",‼,158,413,1K,['https://pbs.twimg.com/ext_tw_video_thumb/1461980686735196163/pu/img/pGUBavwjSiOWoqji.jpg'],https://twitter.com/maspiyuaja/status/1461980771346878464
Musni Umar,@musniumar,2021-11-20T06:06:53.000Z,"Musni Umar
@musniumar
·
Nov 20","Luar biasa Superbike Mandalika. Bangga Indonesia di akhir 2021
530
151
619",,530,151,619,"['https://pbs.twimg.com/media/FEnZzyBVEAEcMC4?format=jpg&name=360x360', 'https://pbs.twimg.com/media/FEnZ1VhUcAA4Fda?format=jpg&name=360x360', 'https://pbs.twimg.com/media/FEnZ0mVVcAEmDVM?format=jpg&name=360x360', 'https://pbs.twimg.com/media/FEnZ18vVkAEDgS_?format=jpg&name=360x360']",https://twitter.com/musniumar/status/1461939083026919425
Hermant,@hrmnt80,2021-11-20T12:47:01.000Z,"Hermant
@hrmnt80
·
Nov 20","Yuk di Gas Pol, Mandalika gelar event Internasional #WorldSBK 
Siapa yang akan jadi juara WSBK musim ini, Mandalika bakal jadi saksinya  

Terima kasih Pak Jokowi
3
9",,,3,9,['https://pbs.twimg.com/ext_tw_video_thumb/1462039702966394883/pu/img/xbX-HbaZVE5rodr2.jpg'],https://twitter.com/hrmnt80/status/1462039780355543040
尺ㄩ与 NurutanBaturNaminaDipareasi,@NegeriWayahna,2021-11-20T15:06:24.000Z,"尺ㄩ与 NurutanBaturNaminaDipareasi
@NegeriWayahna
·
Nov 20","Breaking Nyus Mandalika 
The following media includes potentially sensitive content. Change settings
View
From 
Mas Banyu
2
8
11",🙄,2,8,11,[],https://twitter.com/NegeriWayahna/status/1462074855927410690
